t,AAR,CAAR
-5,-0.0014027401838669791,-0.0014027401838669791
-4,-0.0009640969680281206,-0.0023668371518951
-3,-0.0023580752475964527,-0.004724912399491552
-2,-0.003218459050265877,-0.007943371449757429
-1,-0.0005634084503484001,-0.00850677990010583
0,-0.00013877630362206674,-0.008645556203727896
1,0.0015653249666139346,-0.0070802312371139615
2,-0.001523197633451991,-0.008603428870565952
3,0.0007016392444422661,-0.007901789626123687
4,0.000900519406561533,-0.007001270219562154
5,-0.0014771832606075108,-0.008478453480169665
