sector,window,mean_CAR_pct,t_stat,p_value,N,sig
Banks,"[-1,1]",1.2332621566469728,3.411083670928657,0.001245310777584945,54,***
Banks,"[0,1]",0.8785129718476806,3.049519195554549,0.0035734768017871015,54,***
Banks,"[0,5]",0.7223359497852956,1.9837047954359535,0.0524792133017868,54,*
Consumer Disc.,"[-1,1]",0.03897176710786231,0.07288450756078202,0.9424558365581464,27,
Consumer Disc.,"[0,1]",0.14086127336535856,0.3579098827465269,0.7233001192562881,27,
Consumer Disc.,"[0,5]",0.1990141529276008,0.27664976368231403,0.7842364781662025,27,
Energy,"[-1,1]",-1.248589995502116,-1.9809174882083926,0.06401563234582049,18,*
Energy,"[0,1]",-1.1102961640412559,-2.0063463075305354,0.06099766664829774,18,*
Energy,"[0,5]",-0.597001351643066,-0.8290175927983506,0.4185829587860091,18,
Industrials,"[-1,1]",1.4621599890912511,1.826398230423363,0.08540445774618946,18,*
Industrials,"[0,1]",0.5088316539223235,0.9258919289101147,0.3674604309582047,18,
Industrials,"[0,5]",0.9435078992545883,0.9373858521381642,0.3616875476141417,18,
REITs,"[-1,1]",-0.5516466439204308,-1.969905707511545,0.0540845632922194,54,*
REITs,"[0,1]",0.16360668658897726,0.6417168107650537,0.5238228719190987,54,
REITs,"[0,5]",0.11254816770248359,0.23940040177074637,0.811718528007782,54,
Tech,"[-1,1]",0.34776000836621696,0.8043522321565626,0.4247869495517488,54,
Tech,"[0,1]",-0.06355903620468194,-0.1798843472548297,0.8579293711042804,54,
Tech,"[0,5]",-0.6484002579792693,-1.1625709901936914,0.25021176789850064,54,
Utilities,"[-1,1]",-0.8261775554256013,-3.2782579191111947,0.0020449121236151475,45,***
Utilities,"[0,1]",-0.16227450885489264,-0.7815051200456297,0.4386905439067922,45,
Utilities,"[0,5]",-0.4647958902496821,-0.9243734398784533,0.36033387362268443,45,
